"OpenOffice.org","3.0.1",168,"http://openoffice.bouncer.osuosl.org/?product=OpenOffice.org&os=winwjre&lang=en-US&version=3.0.1"
"Dia","0.96.1",13,"http://downloads.sourceforge.net/dia-installer/dia-setup-0.96.1-9.exe"
"PDFCreator","0.9.7",14.8,"http://downloads.sourceforge.net/pdfcreator/PDFCreator-0_9_7_setup.exe?use_mirror=nchc"
"FreeMind","0.8.1",9,"http://prdownloads.sourceforge.net/freemind/FreeMind-Windows-Installer-0.8.1-max.exe?download"
"Gantt Project","2.0.9",9,"http://prdownloads.sourceforge.net/ganttproject/ganttproject-2.0.9.exe?downloadp"
"Firefox","3.0.6",8.4,"http://www.mozilla.com/products/download.html?product=firefox-3.0.6&os=win&lang=en-US"
"Thunderbird","2.0.0.19",10.9,"http://www.mozillamessaging.com/thunderbird/download/?product=thunderbird-2.0.0.19&os=win&lang=en-US"
"Pidgin",02/05/05,13.7,"mhttp://downloads.sourceforge.net/pidgin/pidgin-2.5.5.exe"
"BitTorrent",,0.89,
"GIMP",02/06/05,15.2,"http://downloads.sourceforge.net/gimp-win/gimp-2.6.5-i686-setup.exe"
"Inkscape",0.46,33.4,"http://downloads.sourceforge.net/inkscape/Inkscape-0.46.win32.exe"
"Open Clip Art",0.18,86,"http://openclipart.org/downloads/0.18/openclipart-0.18-win32.exe"
"VLC","0.9.8a",15.6,"http://www.videolan.org/mirror-geo.php?file=vlc/0.9.8a/win32/vlc-0.9.8a-win32.exe"
"Audacity",01/02/06,2.1,"http://audacity.sourceforge.net/latest/audacity-win/audacity-win-1.2.6.exe"
"7-Zip",4.65,0.89,"http://nchc.dl.sourceforge.net/sourceforge/sevenzip/7z465.exe"
"ClamWin","0.94.1",24.5,"http://downloads.sourceforge.net/clamwin/clamwin-0.94.1-setup.exe"
"Kompozer","0.7.10",7.6,"http://ovh.dl.sourceforge.net/sourceforge/kompozer/kompozer-0.7.10-win32.zip"
"FileZilla","3.2.2.1",3.7,"https://www.ohloh.net/projects/filezilla/download?filename=FileZilla_3.2.2.1_win32-setup.exe"
"Putty",0.6,1.7,"http://the.earth.li/~sgtatham/putty/latest/x86/putty-0.60-installer.exe"
"Notepad2","1.1.0.8",0.52,"http://nchc.dl.sourceforge.net/sourceforge/notepad2/notepad2v1108.7z"
"Subversion",01/05/08,17.9,"http://nchc.dl.sourceforge.net/sourceforge/tortoisesvn/TortoiseSVN-1.5.8.15348-win32-svn-1.5.5.msi"
"Lbreakout2",02/05/01,3.2,"http://lgames.sourceforge.net/download.php?project=LBreakout2&url=SOURCEFORGE/lgames/lbreakout2-2.5.1-win32.zip"
"SuperTux","0.1.3",7.3,"http://download.berlios.de/supertux/supertux-0.1.3-setup.exe"
"Celestia",01/05/01,22.7,"http://jaist.dl.sourceforge.net/sourceforge/celestia/celestia-win32-1.5.1.exe"
"GCompris",,70.9,
"Tux Paint",,19.6,
"Tux Typing 2",,7.9,
"TuxMath",,1.8,
"infrarecoreder","0.46.2",3.19,"http://downloads.sourceforge.net/infrarecorder/ir0462.exe?download"
"Blender","2.4.8a",9,"http://ftp.nluug.nl/pub/graphics/blender/release/Blender2.48a/blender-2.48a-windows.exe"
"xampp",01/07/00,39,"http://biznetnetworks.dl.sourceforge.net/sourceforge/xampp/xampp-win32-1.7.0-installer.exe"
"Joomla",01/05/08,5.8,"http://joomlacode.org/gf/download/frsrelease/9294/34966/Joomla_1.5.9-Stable-Full_Package.zip"
"Moodle",01/09/04,14.7,"http://download.moodle.org/download.php/stable19/moodle-1.9.4.zip"
"SMF",01/01/08,1.7,"http://www.simplemachines.org/download/index.php/smf_1-1-8_install.zip"
"Drupal",6.1,1,"http://ftp.drupal.org/files/projects/drupal-6.10.tar.gz"
"launcher",,23.5,
,,,
,,688.09,
,01/07/00,,01/07/00
